model,name,desc,cat1,cat2,cat3,cat4,quantity,price,manufacturer,manufacturer_pb,weight,unit
102117,"""CC Creative boja za kosu 1/1  60ml""",,"""SVE ZA FRIZERSKE SALONE""","""KOZMETIKA ZA KOSU""","""BOJENJE KOSE""","""BOJE SA AMONIJAKOM""",66,890,"""TIGI""","""COLOUR""",0.08,"""kom"""
102118,"""CC Creative boja za kosu 2/0  60ml""",,"""SVE ZA FRIZERSKE SALONE""","""KOZMETIKA ZA KOSU""","""BOJENJE KOSE""","""BOJE SA AMONIJAKOM""",68,890,"""TIGI""","""COLOUR""",0.08,"""kom"""
102119,"""CC Creative boja za kosu 3/0  60ml""",,"""SVE ZA FRIZERSKE SALONE""","""KOZMETIKA ZA KOSU""","""BOJENJE KOSE""","""BOJE SA AMONIJAKOM""",54,890,"""TIGI""","""COLOUR""",0.08,"""kom"""
102120,"""CC Creative boja za kosu 4/0  60ml""",,"""SVE ZA FRIZERSKE SALONE""","""KOZMETIKA ZA KOSU""","""BOJENJE KOSE""","""BOJE SA AMONIJAKOM""",37,890,"""TIGI""","""COLOUR""",0.08,"""kom"""
102121,"""CC Creative boja za kosu 5/0  60ml""",,"""SVE ZA FRIZERSKE SALONE""","""KOZMETIKA ZA KOSU""","""BOJENJE KOSE""","""BOJE SA AMONIJAKOM""",72,890,"""TIGI""","""COLOUR""",0.08,"""kom"""
102122,"""CC Creative boja za kosu 6/0  60ml""",,"""SVE ZA FRIZERSKE SALONE""","""KOZMETIKA ZA KOSU""","""BOJENJE KOSE""","""BOJE SA AMONIJAKOM""",54,890,"""TIGI""","""COLOUR""",0.08,"""kom"""
102123,"""CC Creative boja za kosu 7/0  60ml""",,"""SVE ZA FRIZERSKE SALONE""","""KOZMETIKA ZA KOSU""","""BOJENJE KOSE""","""BOJE SA AMONIJAKOM""",38,890,"""TIGI""","""COLOUR""",0.08,"""kom"""
102124,"""CC Creative boja za kosu 8/0  60ml""",,"""SVE ZA FRIZERSKE SALONE""","""KOZMETIKA ZA KOSU""","""BOJENJE KOSE""","""BOJE SA AMONIJAKOM""",59,890,"""TIGI""","""COLOUR""",0.08,"""kom"""
102125,"""CC Creative boja za kosu 9/0  60ml""",,"""SVE ZA FRIZERSKE SALONE""","""KOZMETIKA ZA KOSU""","""BOJENJE KOSE""","""BOJE SA AMONIJAKOM""",76,890,"""TIGI""","""COLOUR""",0.08,"""kom"""
102126,"""CC Creative boja za kosu 10/0  60ml""",,"""SVE ZA FRIZERSKE SALONE""","""KOZMETIKA ZA KOSU""","""BOJENJE KOSE""","""BOJE SA AMONIJAKOM""",43,890,"""TIGI""","""COLOUR""",0.08,"""kom"""
102127,"""CC Creative boja za kosu 5/3  60ml""",,"""SVE ZA FRIZERSKE SALONE""","""KOZMETIKA ZA KOSU""","""BOJENJE KOSE""","""BOJE SA AMONIJAKOM""",66,890,"""TIGI""","""COLOUR""",0.08,"""kom"""
102128,"""CC Creative boja za kosu 6/3  60ml""",,"""SVE ZA FRIZERSKE SALONE""","""KOZMETIKA ZA KOSU""","""BOJENJE KOSE""","""BOJE SA AMONIJAKOM""",63,890,"""TIGI""","""COLOUR""",0.08,"""kom"""
102129,"""CC Creative boja za kosu 7/3  60ml""",,"""SVE ZA FRIZERSKE SALONE""","""KOZMETIKA ZA KOSU""","""BOJENJE KOSE""","""BOJE SA AMONIJAKOM""",72,890,"""TIGI""","""COLOUR""",0.08,"""kom"""
102130,"""CC Creative boja za kosu 8/3  60ml""",,"""SVE ZA FRIZERSKE SALONE""","""KOZMETIKA ZA KOSU""","""BOJENJE KOSE""","""BOJE SA AMONIJAKOM""",95,890,"""TIGI""","""COLOUR""",0.08,"""kom"""
